PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,AgeGroup
1,0,3,"Braund, Mr. Owen Harris",1,22.0,1,0,7.25,2,Adulte
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",0,38.0,1,0,71.2833,0,Adulte
3,1,3,"Heikkinen, Miss. Laina",0,26.0,0,0,7.925,2,Adulte
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",0,35.0,1,0,53.1,2,Adulte
5,0,3,"Allen, Mr. William Henry",1,35.0,0,0,8.05,2,Adulte
6,0,3,"Moran, Mr. James",1,28.0,0,0,8.4583,1,Adulte
7,0,1,"McCarthy, Mr. Timothy J",1,54.0,0,0,51.8625,2,Adulte
8,0,3,"Palsson, Master. Gosta Leonard",1,2.0,3,1,21.075,2,Enfant
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,27.0,0,2,11.1333,2,Adulte
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",0,14.0,1,0,30.0708,0,Enfant
11,1,3,"Sandstrom, Miss. Marguerite Rut",0,4.0,1,1,16.7,2,Enfant
12,1,1,"Bonnell, Miss. Elizabeth",0,58.0,0,0,26.55,2,Adulte
13,0,3,"Saundercock, Mr. William Henry",1,20.0,0,0,8.05,2,Adulte
14,0,3,"Andersson, Mr. Anders Johan",1,39.0,1,5,31.275,2,Adulte
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",0,14.0,0,0,7.8542,2,Enfant
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",0,55.0,0,0,16.0,2,Adulte
17,0,3,"Rice, Master. Eugene",1,2.0,4,1,29.125,1,Enfant
18,1,2,"Williams, Mr. Charles Eugene",1,28.0,0,0,13.0,2,Adulte
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",0,31.0,1,0,18.0,2,Adulte
20,1,3,"Masselmani, Mrs. Fatima",0,28.0,0,0,7.225,0,Adulte
21,0,2,"Fynney, Mr. Joseph J",1,35.0,0,0,26.0,2,Adulte
22,1,2,"Beesley, Mr. Lawrence",1,34.0,0,0,13.0,2,Adulte
23,1,3,"McGowan, Miss. Anna ""Annie""",0,15.0,0,0,8.0292,1,Enfant
24,1,1,"Sloper, Mr. William Thompson",1,28.0,0,0,35.5,2,Adulte
25,0,3,"Palsson, Miss. Torborg Danira",0,8.0,3,1,21.075,2,Enfant
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",0,38.0,1,5,31.3875,2,Adulte
27,0,3,"Emir, Mr. Farred Chehab",1,28.0,0,0,7.225,0,Adulte
28,0,1,"Fortune, Mr. Charles Alexander",1,19.0,3,2,263.0,2,Adulte
29,1,3,"O'Dwyer, Miss. Ellen ""Nellie""",0,28.0,0,0,7.8792,1,Adulte
30,0,3,"Todoroff, Mr. Lalio",1,28.0,0,0,7.8958,2,Adulte
31,0,1,"Uruchurtu, Don. Manuel E",1,40.0,0,0,27.7208,0,Adulte
32,1,1,"Spencer, Mrs. William Augustus (Marie Eugenie)",0,28.0,1,0,146.5208,0,Adulte
33,1,3,"Glynn, Miss. Mary Agatha",0,28.0,0,0,7.75,1,Adulte
34,0,2,"Wheadon, Mr. Edward H",1,66.0,0,0,10.5,2,Senior
35,0,1,"Meyer, Mr. Edgar Joseph",1,28.0,1,0,82.1708,0,Adulte
36,0,1,"Holverson, Mr. Alexander Oskar",1,42.0,1,0,52.0,2,Adulte
37,1,3,"Mamee, Mr. Hanna",1,28.0,0,0,7.2292,0,Adulte
38,0,3,"Cann, Mr. Ernest Charles",1,21.0,0,0,8.05,2,Adulte
39,0,3,"Vander Planke, Miss. Augusta Maria",0,18.0,2,0,18.0,2,Adulte
40,1,3,"Nicola-Yarred, Miss. Jamila",0,14.0,1,0,11.2417,0,Enfant
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",0,40.0,1,0,9.475,2,Adulte
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",0,27.0,1,0,21.0,2,Adulte
43,0,3,"Kraeff, Mr. Theodor",1,28.0,0,0,7.8958,0,Adulte
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",0,3.0,1,2,41.5792,0,Enfant
45,1,3,"Devaney, Miss. Margaret Delia",0,19.0,0,0,7.8792,1,Adulte
46,0,3,"Rogers, Mr. William John",1,28.0,0,0,8.05,2,Adulte
47,0,3,"Lennon, Mr. Denis",1,28.0,1,0,15.5,1,Adulte
48,1,3,"O'Driscoll, Miss. Bridget",0,28.0,0,0,7.75,1,Adulte
49,0,3,"Samaan, Mr. Youssef",1,28.0,2,0,21.6792,0,Adulte
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",0,18.0,1,0,17.8,2,Adulte
51,0,3,"Panula, Master. Juha Niilo",1,7.0,4,1,39.6875,2,Enfant
52,0,3,"Nosworthy, Mr. Richard Cater",1,21.0,0,0,7.8,2,Adulte
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",0,49.0,1,0,76.7292,0,Adulte
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",0,29.0,1,0,26.0,2,Adulte
55,0,1,"Ostby, Mr. Engelhart Cornelius",1,65.0,0,1,61.9792,0,Senior
56,1,1,"Woolner, Mr. Hugh",1,28.0,0,0,35.5,2,Adulte
57,1,2,"Rugg, Miss. Emily",0,21.0,0,0,10.5,2,Adulte
58,0,3,"Novel, Mr. Mansouer",1,28.5,0,0,7.2292,0,Adulte
59,1,2,"West, Miss. Constance Mirium",0,5.0,1,2,27.75,2,Enfant
60,0,3,"Goodwin, Master. William Frederick",1,11.0,5,2,46.9,2,Enfant
61,0,3,"Sirayanian, Mr. Orsen",1,22.0,0,0,7.2292,0,Adulte
62,1,1,"Icard, Miss. Amelie",0,38.0,0,0,80.0,-1,Adulte
63,0,1,"Harris, Mr. Henry Birkhardt",1,45.0,1,0,83.475,2,Adulte
64,0,3,"Skoog, Master. Harald",1,4.0,3,2,27.9,2,Enfant
65,0,1,"Stewart, Mr. Albert A",1,28.0,0,0,27.7208,0,Adulte
66,1,3,"Moubarek, Master. Gerios",1,28.0,1,1,15.2458,0,Adulte
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",0,29.0,0,0,10.5,2,Adulte
68,0,3,"Crease, Mr. Ernest James",1,19.0,0,0,8.1583,2,Adulte
69,1,3,"Andersson, Miss. Erna Alexandra",0,17.0,4,2,7.925,2,Enfant
70,0,3,"Kink, Mr. Vincenz",1,26.0,2,0,8.6625,2,Adulte
71,0,2,"Jenkin, Mr. Stephen Curnow",1,32.0,0,0,10.5,2,Adulte
72,0,3,"Goodwin, Miss. Lillian Amy",0,16.0,5,2,46.9,2,Enfant
73,0,2,"Hood, Mr. Ambrose Jr",1,21.0,0,0,73.5,2,Adulte
74,0,3,"Chronopoulos, Mr. Apostolos",1,26.0,1,0,14.4542,0,Adulte
75,1,3,"Bing, Mr. Lee",1,32.0,0,0,56.4958,2,Adulte
76,0,3,"Moen, Mr. Sigurd Hansen",1,25.0,0,0,7.65,2,Adulte
77,0,3,"Staneff, Mr. Ivan",1,28.0,0,0,7.8958,2,Adulte
78,0,3,"Moutal, Mr. Rahamin Haim",1,28.0,0,0,8.05,2,Adulte
79,1,2,"Caldwell, Master. Alden Gates",1,0.83,0,2,29.0,2,Enfant
80,1,3,"Dowdell, Miss. Elizabeth",0,30.0,0,0,12.475,2,Adulte
81,0,3,"Waelens, Mr. Achille",1,22.0,0,0,9.0,2,Adulte
82,1,3,"Sheerlinck, Mr. Jan Baptist",1,29.0,0,0,9.5,2,Adulte
83,1,3,"McDermott, Miss. Brigdet Delia",0,28.0,0,0,7.7875,1,Adulte
84,0,1,"Carrau, Mr. Francisco M",1,28.0,0,0,47.1,2,Adulte
85,1,2,"Ilett, Miss. Bertha",0,17.0,0,0,10.5,2,Enfant
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",0,33.0,3,0,15.85,2,Adulte
87,0,3,"Ford, Mr. William Neal",1,16.0,1,3,34.375,2,Enfant
88,0,3,"Slocovski, Mr. Selman Francis",1,28.0,0,0,8.05,2,Adulte
89,1,1,"Fortune, Miss. Mabel Helen",0,23.0,3,2,263.0,2,Adulte
90,0,3,"Celotti, Mr. Francesco",1,24.0,0,0,8.05,2,Adulte
91,0,3,"Christmann, Mr. Emil",1,29.0,0,0,8.05,2,Adulte
92,0,3,"Andreasson, Mr. Paul Edvin",1,20.0,0,0,7.8542,2,Adulte
93,0,1,"Chaffee, Mr. Herbert Fuller",1,46.0,1,0,61.175,2,Adulte
94,0,3,"Dean, Mr. Bertram Frank",1,26.0,1,2,20.575,2,Adulte
95,0,3,"Coxon, Mr. Daniel",1,59.0,0,0,7.25,2,Adulte
96,0,3,"Shorney, Mr. Charles Joseph",1,28.0,0,0,8.05,2,Adulte
97,0,1,"Goldschmidt, Mr. George B",1,71.0,0,0,34.6542,0,Senior
98,1,1,"Greenfield, Mr. William Bertram",1,23.0,0,1,63.3583,0,Adulte
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",0,34.0,0,1,23.0,2,Adulte
100,0,2,"Kantor, Mr. Sinai",1,34.0,1,0,26.0,2,Adulte
101,0,3,"Petranec, Miss. Matilda",0,28.0,0,0,7.8958,2,Adulte
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",1,28.0,0,0,7.8958,2,Adulte
103,0,1,"White, Mr. Richard Frasar",1,21.0,0,1,77.2875,2,Adulte
104,0,3,"Johansson, Mr. Gustaf Joel",1,33.0,0,0,8.6542,2,Adulte
105,0,3,"Gustafsson, Mr. Anders Vilhelm",1,37.0,2,0,7.925,2,Adulte
106,0,3,"Mionoff, Mr. Stoytcho",1,28.0,0,0,7.8958,2,Adulte
107,1,3,"Salkjelsvik, Miss. Anna Kristine",0,21.0,0,0,7.65,2,Adulte
108,1,3,"Moss, Mr. Albert Johan",1,28.0,0,0,7.775,2,Adulte
109,0,3,"Rekic, Mr. Tido",1,38.0,0,0,7.8958,2,Adulte
110,1,3,"Moran, Miss. Bertha",0,28.0,1,0,24.15,1,Adulte
111,0,1,"Porter, Mr. Walter Chamberlain",1,47.0,0,0,52.0,2,Adulte
112,0,3,"Zabour, Miss. Hileni",0,14.5,1,0,14.4542,0,Enfant
113,0,3,"Barton, Mr. David John",1,22.0,0,0,8.05,2,Adulte
114,0,3,"Jussila, Miss. Katriina",0,20.0,1,0,9.825,2,Adulte
115,0,3,"Attalah, Miss. Malake",0,17.0,0,0,14.4583,0,Enfant
116,0,3,"Pekoniemi, Mr. Edvard",1,21.0,0,0,7.925,2,Adulte
117,0,3,"Connors, Mr. Patrick",1,70.5,0,0,7.75,1,Senior
118,0,2,"Turpin, Mr. William John Robert",1,29.0,1,0,21.0,2,Adulte
119,0,1,"Baxter, Mr. Quigg Edmond",1,24.0,0,1,247.5208,0,Adulte
120,0,3,"Andersson, Miss. Ellis Anna Maria",0,2.0,4,2,31.275,2,Enfant
121,0,2,"Hickman, Mr. Stanley George",1,21.0,2,0,73.5,2,Adulte
122,0,3,"Moore, Mr. Leonard Charles",1,28.0,0,0,8.05,2,Adulte
123,0,2,"Nasser, Mr. Nicholas",1,32.5,1,0,30.0708,0,Adulte
